BJDONG_NM,CENTER_LONG,CENTER_LATI
삼선동5가,127.01587788024752,37.588540827788385
동선동1가,127.0182358064756,37.59231396867162
동선동2가,127.02002168547628,37.590179035535975
동선동3가,127.02068356837148,37.5939320490987
동선동4가,127.01862413506754,37.59519640054105
동선동5가,127.01666926862214,37.596286610248455
안암동1가,127.02210700764752,37.58870611055133
안암동2가,127.02318669915104,37.58690018393774
안암동3가,127.0233367300506,37.58354634953801
안암동4가,127.02466652458612,37.58068795862423
안암동5가,127.02838532417744,37.58845682267109
보문동4가,127.0213675518561,37.58291802529641
보문동5가,127.02008518496882,37.582398456646075
보문동6가,127.01886416937695,37.58039122012148
보문동7가,127.0223785070424,37.579773680700086
보문동1가,127.01966765470632,37.58649815177395
보문동2가,127.01823149269512,37.58575726756298
보문동3가,127.01636366042452,37.58396377942942
정릉동,126.99766937098944,37.615586951442225
길음동,127.0221422467614,37.60859152447063
종암동,127.03390334508477,37.59717389335986
하월곡동,127.03935699563534,37.60468156510123
상월곡동,127.04777420744264,37.6061701407617
장위동,127.04991549658914,37.61521889311376
석관동,127.06148091611152,37.6082658183207
,127.0111889752399,37.64347391355864
미아동,127.0238798762682,37.62109934674796
번동,127.03675551051244,37.62904413412293
수유동,127.00737178236452,37.63832677944964
우이동,127.00051722444942,37.66328646306527
,127.03236881955814,37.66910208028845
쌍문동,127.0270974101564,37.65335781177766
방학동,127.03106431008626,37.665283907981184
창동,127.04406470622502,37.647745491815094
도봉동,127.02923517733603,37.684848971479674
,127.07503468933729,37.65251104799007
월계동,127.05674102546848,37.62824386541814
공릉동,127.09101086682487,37.630496379881066
하계동,127.0725099594334,37.63764458714343
상계동,127.07033673387208,37.67299194181273
중계동,127.07999779125096,37.65101288661096
,126.92702287719972,37.61921128257489
수색동,126.8945465125158,37.585573481118566
녹번동,126.93458290540777,37.605309755631055
불광동,126.9355775268644,37.619155862149974
갈현동,126.91357868388484,37.62154267658806
구산동,126.90731080703928,37.611072602353374
대조동,126.92315293702484,37.61225609331376
응암동,126.9231250595101,37.59383528652553
역촌동,126.91462526557598,37.6045776295367
신사동,126.9072033689634,37.59561341565446
증산동,126.90596446730832,37.584168127045594
진관동,126.93782346490224,37.63967722434144
,126.93906309571524,37.577785309169954
충정로2가,126.96417623409316,37.564853948305114
충정로3가,126.96196372689748,37.562117013495346
합동,126.96607038969532,37.561570434238035
미근동,126.96728785458988,37.563330973824016
냉천동,126.96241873238228,37.56681402729026
천연동,126.9594360612699,37.56790609966186
옥천동,126.95912788407594,37.56935098044264
영천동,126.9577081515544,37.570299217695194
현저동,126.95404620273112,37.57377155294639
북아현동,126.95438644117792,37.5624196966443
홍제동,126.94895107306588,37.58707668244387
대현동,126.94631349624264,37.560412626930166
대신동,126.94430948103827,37.56422006958602
신촌동,126.94139603706329,37.56554452948296
봉원동,126.94692559995968,37.57263108518416
창천동,126.9342113696831,37.55869869335811
연희동,126.93282762424415,37.57198173019036
홍은동,126.9385709042098,37.59302549117553
북가좌동,126.91118899754072,37.57880151045278
남가좌동,126.91944122847062,37.57562164983495
,126.90827002744956,37.55931349255405
아현동,126.95631975429208,37.554468382783945
공덕동,126.95494771882709,37.548070476424705
신공덕동,126.95594297545462,37.54413092481795
도화동,126.95004819946654,37.53975917629893
용강동,126.94045248143571,37.5414984909524
토정동,126.93980136657306,37.53891237648968
마포동,126.94384420166696,37.53713452996969
대흥동,126.94319685161834,37.5498040641047
염리동,126.94732838463976,37.54913172008571
노고산동,126.93778538675218,37.55438895228857
신수동,126.93682967808036,37.54857717559063
현석동,126.9343747096854,37.54222205707352
구수동,126.93256322437648,37.54576155609859
창전동,126.9300885513184,37.550265062353155
상수동,126.92448716178278,37.5466706437852
하중동,126.92779898148954,37.54359212390608
신정동,126.93035131820749,37.543178482062096
당인동,126.92206848707312,37.54260554066827
서교동,126.91879840951502,37.553839380609624
동교동,126.92515423679856,37.55759508575316
합정동,126.9090449981631,37.54702306046542
망원동,126.89993048134066,37.555477732312426
연남동,126.92152855304708,37.5630232338545
성산동,126.90469377493744,37.56565855521696
중동,126.90616779602506,37.571630834829875
상암동,126.87988623319272,37.57072003647314
,126.85547766023458,37.52478941020829
신정동,126.8557190417005,37.51519455087799
목동,126.874521339432,37.53604466340131
신월동,126.83432123077874,37.52660593745799
,126.82280668970552,37.561235428012274
염창동,126.87178059435476,37.554549561429376
등촌동,126.8543090962772,37.55456418997172
화곡동,126.8472706001972,37.540699201322994
가양동,126.85105981036835,37.567889449871224
마곡동,126.829409872915,37.568649088623175
내발산동,126.8333047024842,37.55249139372813
외발산동,126.8196337589572,37.54708772071814
공항동,126.80893306555524,37.55391791037705
방화동,126.81358719586136,37.57589544611857
개화동,126.8035926508052,37.5871140137266
과해동,126.7878030282736,37.56562487897408
오곡동,126.78477441341408,37.552955743755994
오쇠동,126.79793343379282,37.54347716877586
,126.85630057897222,37.494405428561855
신도림동,126.88218517004144,37.5099460149011
구로동,126.88468696337424,37.49423457994257
가리봉동,126.88803772989328,37.48270010632648
고척동,126.858875817984,37.503168238245614
개봉동,126.8519426662647,37.494224747761535
오류동,126.83854726394608,37.4919918844728
궁동,126.82852559348945,37.500432768671565
온수동,126.8206168227773,37.49414445079123
천왕동,126.83981902082006,37.480835735835825
항동,126.82459683794686,37.481036282021215
,126.90082024440927,37.46056756493177
가산동,126.8837782478907,37.47668465005587
독산동,126.8982967098815,37.46747612339402
시흥동,126.90928980328589,37.449530199101986
,126.91016946737668,37.5223082885753
영등포동,126.90691319479248,37.51378577572174
영등포동1가,126.91286680684452,37.517626418271384
영등포동2가,126.9121946850571,37.520609857723166
영등포동3가,126.9078989301965,37.518262914465
영등포동4가,126.9035777653571,37.51789068880999
영등포동5가,126.90668058866623,37.52107507205193
영등포동6가,126.90307415213174,37.52163220111002
영등포동7가,126.90711967736986,37.52429193122779
영등포동8가,126.90529436924352,37.52829994600516
여의도동,126.9284679473727,37.52850492683605
